"Name";"OS";"CreationDate"
"UGP-VPS-01";"Ubuntu Linux (64-bit)";"13/04/2026 08:15:29"
"CUST-VM-AXIAN-AUDIT-ANA-AXIAN-TELECOM-COM";"Ubuntu Linux (64-bit)";"22/06/2022 12:57:57"
"CUST-VM-DEV-AXIAN";"CentOS 4/5/6/7 (64-bit)";"01/01/1970 00:00:00"
"CUST-VM-PROD-AXIAN";;"01/01/1970 00:00:00"
"ATH-LOADBALANCER-TANZU-EXTERNAL";"Ubuntu Linux (64-bit)";"08/11/2023 13:27:03"
"CUST-VM-MADAWIN-NEW-REQ-20160219-04342";"CentOS 6 (64-bit)";"01/01/1970 00:00:00"
"FortiGate-VM-TROPICMADA";"Other 4.x Linux (64-bit)";"12/02/2025 13:06:24"
"Live - TKMERPSRV01- FORM_LIVE";"Microsoft Windows Server 2012 (64-bit)";"05/02/2025 20:07:06"
"TKMORASRV01";"Microsoft Windows Server 2016 (64-bit)";"11/02/2025 22:56:07"
"TKM-DICOVERERNEW";"Microsoft Windows Server 2012 (64-bit)";"05/02/2025 20:03:57"
"TKM-AMIT";"Microsoft Windows Server 2016 (64-bit)";"03/02/2025 12:32:20"
"CUST-VM-AMS-ACT-20150706-03997";"Ubuntu Linux (64-bit)";"01/01/1970 00:00:00"
"CUST-VM-ALPHACIMENT-01";"Microsoft Windows Server 2019 (64-bit)";"21/07/2022 12:32:04"
"CUST-VM-ALPHACIMENT-13";"Ubuntu Linux (64-bit)";"01/07/2024 11:59:26"
"CUST-VM-ALPHACIMENT-15";"Microsoft Windows Server 2022 (64-bit)";"20/02/2025 19:56:01"
"CUST-VM-ALPHACIMENT-10";"Microsoft Windows Server 2019 (64-bit)";"24/01/2024 06:46:03"
"CUST-VM-ALPHACIMENT-03";"Red Hat Enterprise Linux 5 (64-bit)";"01/01/1970 00:00:00"
"CUST-VM-FORTIGATE-ALPHACIMENT";"Other 4.x Linux (64-bit)";"04/07/2024 13:25:23"
"CUST-VM-ALPHACIMENT-14";"Ubuntu Linux (64-bit)";"29/01/2025 13:07:30"
"CUST-VM-ALPHACIMENT-09";"Microsoft Windows Server 2019 (64-bit)";"03/02/2022 10:45:25"
"CUST-VM-ALPHACIMENT-05";"Microsoft Windows Server 2012 (64-bit)";"03/06/2022 11:46:42"
"CUST-VM-ALPHACIMENT-07";"Microsoft Windows Server 2012 (64-bit)";"01/01/1970 00:00:00"
"CUST-VM-ALPHACIMENT-02";"Microsoft Windows Server 2008 (32-bit)";"01/01/1970 00:00:00"
"CUST-VM-ALPHACIMENT-06";"Microsoft Windows Server 2012 (64-bit)";"01/01/1970 00:00:00"
"CUST-VM-ALPHACIMENT-08";"Microsoft Windows Server 2019 (64-bit)";"25/02/2022 07:39:02"
"CUST-VM-ALPHACIMENT-04";"Microsoft Windows Server 2019 (64-bit)";"16/03/2022 12:11:16"
"CUST-VM-ALPHACIMENT-11";"Microsoft Windows Server 2022 (64-bit)";"23/09/2024 11:34:33"
"ULY-TNR1-PFS-01";"FreeBSD 14 or later versions (64-bit)";"21/05/2023 07:12:58"
"ULY-VCENTER-TNR1-01";"VMware Photon OS (64-bit)";"21/05/2023 10:34:51"
"INFRA-ULYS-LINUX-VEEAM-REPO";;"04/04/2025 04:36:41"
"STX-CUST-VM-SMARTENTREPRISE-1";;"04/03/2024 07:09:41"
"STX-CUST-VM-SMARTENTREPRISE-2";;"04/03/2024 07:28:45"
"CUST-VM-BLACKNGREEN-A";"CentOS 7 (64-bit)";"20/06/2022 12:28:04"
"CUST-VM-MINMAE-ACT-20170918-01039";;"01/01/1970 00:00:00"
"CUST-VM-METFP-DIDN-REQ-20230303-00147";"CentOS 8 (64-bit)";"10/03/2023 07:48:30"
"CUST-VM-MINSAN-ACT-20150623-01200";;"01/01/1970 00:00:00"
"CUST-VM-AXI-ALTERRA";"Microsoft Windows Server 2022 (64-bit)";"23/02/2026 12:22:06"
"CUST-VM-MADAGASCO-UBUNTU";"Ubuntu Linux (64-bit)";"18/11/2024 07:34:32"
"CUST-VM-MADAGASCO-PFSENSE";;"18/11/2024 07:29:45"
"MDA-TNR1-CHR-IAAS-01";;"13/06/2024 16:52:22"
"STX-MADA-AIRLINES-AD";"Microsoft Windows Server 2022 (64-bit)";"24/06/2024 11:09:14"
"STX-MADA-AIRLINES-NAVSQL";"Microsoft Windows Server 2008 R2 (64-bit)";"05/11/2024 07:51:59"
"STX-MADA-AIRLINES-QLKVIEW";"Microsoft Windows Server 2008 R2 (64-bit)";"11/07/2024 10:34:25"
"STX-MADA-AIRLINES-MASQL";"Microsoft Windows Server 2022 (64-bit)";"24/06/2024 12:49:14"
"STX-MADA-AIRLINES-SagePaieSQL";"Microsoft Windows Server 2016 or later (64-bit)";"15/07/2024 10:11:36"
"STX-MADA-AIRLINES-SQLSHP";"Microsoft Windows Server 2022 (64-bit)";"24/06/2024 12:42:52"
"STX-MADAAIRLINES-QPULSE";"Microsoft Windows Server 2008 R2 (64-bit)";"10/07/2024 17:05:21"
"STX-MADA-AIRLINES-RPACKTS";"Microsoft Windows Server 2008 R2 (64-bit)";"19/09/2024 06:36:40"
"STX-MADA-AIRLINES-SHARE";"Microsoft Windows Server 2022 (64-bit)";"24/06/2024 12:50:37"
"STX-MADA-AIRLINES-SQLSHP1";"Microsoft Windows Server 2012 (64-bit)";"20/09/2024 05:47:52"
"STX-MADA-AIRLINES-SAGESQL";;"28/07/2024 12:28:56"
