"Name";"OS";"CreationDate"
"MVO-TNR2-TRS-03";"Ubuntu Linux (64-bit)";"15/05/2026 12:30:37"
"STX-TNR2-NKV-TRS-01";"Ubuntu Linux (64-bit)";"27/09/2025 16:29:04"
"MUT-TNR2-NKV-TRS-03";"Ubuntu Linux (64-bit)";"27/09/2025 16:32:46"
"CUST-VM-TEST-SALTEC";"Ubuntu Linux (64-bit)";"25/10/2023 12:08:47"
"PUL-TNR2-NKV-04";"Ubuntu Linux (64-bit)";"27/11/2025 17:50:15"
"MVO-TNR2-TRS-02";"Ubuntu Linux (64-bit)";"20/04/2026 10:45:33"
"MVO-TNR2-NKV-TRS-02";"Ubuntu Linux (64-bit)";"27/09/2025 14:26:53"
"STX-WSO2-TRSPROXY-TNR2";"Ubuntu Linux (64-bit)";"18/12/2025 07:55:24"
"STX-TRS-MVOLA-TNR2";"Ubuntu Linux (64-bit)";"09/02/2026 06:56:46"
"TEMPLATE-PFSENSE-25";"Other (64-bit)";"18/09/2025 12:31:15"
"PUL-TNR2-NKV-TRS-02";"Ubuntu Linux (64-bit)";"30/09/2025 14:46:20"
"STX-NKV-MUL-STELLARIX";"Ubuntu Linux (64-bit)";"25/09/2025 16:45:30"
"PUL-TNR2-NKV-03";"Ubuntu Linux (64-bit)";"27/11/2025 17:03:02"
"MVO-TNR2-NKV-TRS-03";"Ubuntu Linux (64-bit)";"27/09/2025 15:49:45"
"STX-TNR2-NKV-TRS-03";"Ubuntu Linux (64-bit)";"27/09/2025 16:31:35"
"PEL-TNR2-NKV-TRS-02";"Ubuntu Linux (64-bit)";"27/09/2025 16:21:32"
"STX-FTG-DR-01-old";"Other 4.x Linux (64-bit)";"08/05/2025 06:00:12"
"STX-TRS-DTG-TNR02-01";"Ubuntu Linux (64-bit)";"10/02/2025 10:24:55"
"PEL-TNR2-NKV-TRS-01";"Ubuntu Linux (64-bit)";"27/09/2025 16:14:06"
"TGN-TMP-TLM";"Other Linux (64-bit)";"30/01/2025 11:00:19"
"STX-TRS-PROXYDTG-TNR2";"Ubuntu Linux (64-bit)";"04/12/2025 12:57:31"
"NKV-TRS-PIC";"Ubuntu Linux (64-bit)";"15/04/2025 19:29:37"
"ALFRED-PFSENSE-25";"Other (64-bit)";"12/10/2022 17:05:56"
"MVO-TNR2-TRS-01";"Ubuntu Linux (64-bit)";"20/04/2026 10:44:35"
"PEL-TNR2-NKV-TRS-03";"Ubuntu Linux (64-bit)";"27/09/2025 16:24:43"
"STX-AMDOCSPROXY-TRS-TNR2";"Ubuntu Linux (64-bit)";"22/12/2025 11:17:59"
"STX-MUL-MVOLA";"Ubuntu Linux (64-bit)";"25/09/2025 13:02:44"
"MVO-TNR2-NKV-TRS-01";"Ubuntu Linux (64-bit)";"27/09/2025 13:30:37"
"MVO-TNR2-NKV-TRS-04";"Ubuntu Linux (64-bit)";"27/09/2025 15:51:03"
"CUST-VM-AQUARELLE-WINDOWS-CHG0009847";"Microsoft Windows Server 2022 (64-bit)";"03/11/2025 13:00:06"
"STX-TNR2-NKV-TRS-02";"Ubuntu Linux (64-bit)";"29/09/2025 12:24:56"
"DNF-SRV-KAPPTIBUILDER-03";"Red Hat Enterprise Linux 9 (64-bit)";"05/06/2026 11:32:18"
"TEMPLATE_FORTIGATE";"Other 4.x Linux (64-bit)";"05/06/2026 10:40:35"
"DNF-SRV-KAPPTIBUILDER-02";"Red Hat Enterprise Linux 9 (64-bit)";"02/06/2026 08:48:42"
"DNF-SRV-KAPPTIBUILDER-01";"Red Hat Enterprise Linux 9 (64-bit)";"02/06/2026 08:48:33"
"FW-FGT-DIGIBANK";"Other 4.x Linux (64-bit)";"01/06/2026 08:30:15"
"YAS-MG-Preprod-vpi-App";"Ubuntu Linux (64-bit)";"17/12/2025 06:05:42"
"YAS-MG-Firewall-pfsense";"Other (64-bit)";"17/12/2025 08:08:48"
"YAS-MG-Firewall-pfsense-new";"FreeBSD 15 or later versions (64-bit)";"19/12/2025 12:53:15"
"YAS-MG-Prod-vpi-DB";"Ubuntu Linux (64-bit)";"17/12/2025 08:29:16"
"YAS-MG-Prod-vpi-App-VM1";"Ubuntu Linux (64-bit)";"17/12/2025 06:09:57"
"YAS-MG-Prod-vpi-App-VM2";"Ubuntu Linux (64-bit)";"17/12/2025 06:11:41"
"WALLIX LAB";"Microsoft Windows Server 2022 (64-bit)";"17/10/2025 11:57:39"
"STX-WALLIX-MSP-NOC-BASTION-DR-01";"Debian GNU/Linux 12 (64-bit)";"20/01/2026 03:12:48"
"FMGR-VIA-ASSURANCE-R+3";"FortiManager-VM64 v7.6.6-build3654 260127 (GA.M)";"07/11/2025 12:32:05"
"FW-FGT-VIA-ASSURANCE-R+3";"Other 4.x Linux (64-bit)";"07/11/2025 12:34:51"
